sales_person,sales_department,amount,quantity,street,city,state,item_id,date
Rutherford Kermath,Department D,$78.20,31,2700 Sycamore Trail,Oklahoma City,Oklahoma,f3ab6cc326ec24973fba26cbcbb320c7,4/6/2017
Chad Yeatman,Department A,$79.12,3,13484 Tony Terrace,Milwaukee,Wisconsin,8e3db21abca83959b59076978577e707,5/29/2017
Powell Amorts,Department B,$8.89,24,1024 Jay Hill,Las Vegas,Nevada,baab4c783c92ce72c46d54b7df53a728,4/7/2017
Ortensia Le,Department C,$40.83,33,16 Namekagon Court,Dearborn,Michigan,7b17b4d17dfa0450951682a9e509762a,5/5/2017
Atlante Harower,Department D,$16.55,28,95 Carioca Alley,Alexandria,Virginia,885a2a133aecc20705405e4038a67fcd,8/3/2016
Shena Reeson,Department B,$95.38,30,00534 Dakota Street,San Antonio,Texas,023c85a18eb2b70af40948cfa48359e9,3/31/2017
Krystle Boothe,Department D,$82.30,13,70 Fremont Trail,Young America,Minnesota,ff4c4400829ee2c8efbeb7b12c262502,7/9/2017
Atlante Harower,Department D,$38.96,94,0641 Northridge Place,Fort Wayne,Indiana,541e1884584ac127094ee57abfe22cea,8/31/2016
Shane Simkins,Department B,$48.23,44,1942 Ruskin Avenue,Salt Lake City,Utah,6cb43e500ac59d6eacde44f0a673b3bf,7/21/2017
Krystle Boothe,Department D,$89.81,66,0 Maple Wood Parkway,Seattle,Washington,428bc63293a460501a9d42d1fc82dbfa,10/5/2016
Rutherford Kermath,Department D,$17.95,5,98690 Carberry Parkway,Las Vegas,Nevada,e2514c992a7fd1bb4da9a3d25ff84a5c,1/4/2017
Dallas Le,Department B,$32.13,3,1 Reinke Drive,Worcester,Massachusetts,b275e27ca70efc792c00036a4e44a45f,9/16/2016
Zebedee Kedge,Department A,$77.94,20,31 Huxley Trail,Salt Lake City,Utah,9cb12d1a2113032a7d64bae2921349f4,7/5/2017
,,,65,03324 Golf Course Lane,Washington,District of Columbia,58169a9b469ea02b6cf9d2f2a7206b44,12/16/2016
Celestyna Erskine,Department C,$61.23,30,405 Blackbird Avenue,Santa Barbara,California,b3e4d92ca3539be1c2d9702c55a332a0,2/6/2017
Atlante Harower,Department D,$53.51,79,86501 Harbort Terrace,Denver,Colorado,12097501504a08a7e2065c405fb2451b,6/9/2017
Chad Yeatman,Department A,$97.99,45,7 Sycamore Circle,Savannah,Georgia,533d9ac8806b0cf309bf64abaffb93e3,4/20/2016
Brear Fairs,Department D,$79.56,53,9 Mockingbird Circle,Kingsport,Tennessee,5458f74b5b6e8ba9e47c67d81f4c54df,5/3/2016
Shena Reeson,Department B,$18.58,51,6207 Jay Avenue,Kansas City,Missouri,b67e88e586a9d0897bb37cad25c57623,4/1/2017
Ortensia Le,Department C,$19.83,26,2 Debs Plaza,Chesapeake,Virginia,955567ab78a7bddd7acb4b8ec08ac920,11/20/2016
Chad Yeatman,Department A,$29.55,76,94504 Luster Hill,San Jose,California,40e21cee9114cf28a9a31d4da1740b4c,7/13/2016
Jacquette Oakley,Department C,$43.84,67,691 Washington Terrace,Mesa,Arizona,e80eea4b2163907b9d8fdad642e8b9e1,1/7/2017
Powell Amorts,Department B,$57.37,69,08 Warbler Road,Irving,Texas,2df7e78f4f074320289a36819410b048,6/28/2017
Rutherford Kermath,Department D,$92.44,81,9 Park Meadow Circle,Houston,Texas,276c3951fd5d3e075a69e981557b00e1,3/16/2017
Dallas Le,Department B,$44.76,84,6869 Di Loreto Avenue,Odessa,Texas,c258df8bc66f6bee465c72405bbd968f,2/10/2017
Ortensia Le,Department C,$0.36,16,2860 Steensland Terrace,Miami,Florida,574ae312b0e04a7e44f547472b6e7d41,11/9/2016
Celestyna Erskine,Department C,$54.96,94,27 Mayfield Pass,Washington,District of Columbia,0ae9e9ec45bddd9686d26aa95cce9305,7/31/2017
Ignacio Arpur,Department A,$39.43,69,94 Cardinal Hill,Seattle,Washington,e0bf4a83aa0a2daa89174d2fcc557976,9/19/2016
Celestyna Erskine,Department C,$54.91,66,0607 Northview Street,Englewood,Colorado,de30a30ef51b904b59b02eabfe6b5c11,3/23/2017
Ashleigh Baudinot,Department D,$94.51,98,7 Coolidge Drive,Trenton,New Jersey,273d4e0265d2cc9c9e5c3c368bd42002,4/20/2016
Modesty Berringer,Department D,$41.12,67,442 Lakewood Lane,Dallas,Texas,cf72a9684a79d6ec32e9a33351bf3254,7/28/2016
Jacquette Oakley,Department C,$84.71,4,56 Carpenter Crossing,Akron,Ohio,c760a950f8361bc5b4e7130e0a252c1b,3/12/2017
Chad Yeatman,Department A,$23.21,65,1 Hayes Drive,San Mateo,California,a86c8421d674b3fe3be2a2c400c3f14f,3/31/2017
Powell Amorts,Department B,$43.35,74,283 Coleman Place,Pueblo,Colorado,1f52ecdafebea277f17505b23a97f063,7/26/2017
Zaneta Delmage,Department B,$92.87,45,6 Rieder Parkway,Santa Barbara,California,bbd4afc254295079131ff26b70fb4174,4/23/2016
Jacquette Oakley,Department C,$90.58,51,8 Di Loreto Avenue,Lexington,Kentucky,b1a42cc52fdf40db617872f0f8580abc,5/29/2017
Brear Fairs,Department D,$11.93,78,95628 Twin Pines Road,Lubbock,Texas,0d8590f29b6c2dded06628d80d1b81f6,3/17/2016
Brear Fairs,Department D,$99.17,8,1 Atwood Plaza,Syracuse,New York,ab6458ef6c77fbc197541a7d995e594d,9/6/2016
Shane Simkins,Department B,$20.43,26,8826 Nelson Plaza,Trenton,New Jersey,43e96c1411242bb5453fbf84dedede27,7/25/2016
Celestyna Erskine,Department C,$39.99,100,9096 Michigan Court,Boise,Idaho,d07d102527e4fdc34e487d9687d826bd,7/11/2016
Powell Amorts,Department B,$82.88,23,1868 Fisk Court,Milwaukee,Wisconsin,c0c96b704197764c1e7d270d4bf490a9,12/8/2016
Zaneta Delmage,Department B,$25.28,47,9 Grover Place,Fort Wayne,Indiana,c81027684c8084e93780d56c9d9079c3,6/7/2016
Dallas Le,Department B,$16.14,11,407 Summit Parkway,Houston,Texas,42a4eb04ab1132b03be57eab0766c51f,1/20/2016
Ignacio Arpur,Department A,$65.61,35,136 Cordelia Avenue,Columbia,South Carolina,e69de7f50e146b9197e6da5f4af7a18f,7/1/2017
Dallas Le,Department B,$78.23,41,29 Macpherson Junction,South Bend,Indiana,93b3984bc3d32dab437fbf4ee9b40904,7/20/2017
Zebedee Kedge,Department A,$68.83,71,5 Gateway Pass,Santa Ana,California,09561e6b0984a774ec8a817d8ded3591,7/20/2017
Zebedee Kedge,Department A,$40.20,5,51 Gina Court,Garden Grove,California,30e13b8f981d5333146420a754f48ed1,8/4/2017
Brear Fairs,Department D,$15.05,32,6 Mesta Alley,Lake Worth,Florida,42d0cf868533c4974f733192aff5a9a9,3/12/2016
Jacquette Oakley,Department C,$79.66,70,7 Talmadge Circle,Clearwater,Florida,a521d1bff511fa0a87f80f32be40cad9,2/22/2017
Zaneta Delmage,Department B,$77.72,21,82 Larry Hill,Baton Rouge,Louisiana,38128da415f7d2cd825d2bdb586aacaf,12/29/2016
Ignacio Arpur,Department A,$96.95,60,3793 Westport Junction,Seattle,Washington,3f1fa3cbbde3aed10727ff623f9ebd72,8/15/2016
Chad Yeatman,Department A,$60.84,87,3246 Weeping Birch Plaza,Inglewood,California,9d967c0d87bd4b5147d920cefc55fc4f,1/2/2016
Celestyna Erskine,Department C,$83.94,2,81676 Londonderry Point,Atlanta,Georgia,a2dcd9e82ebfeb11531c5eb1c4fe768d,9/14/2016
Atlante Harower,Department D,$44.82,76,73470 Iowa Parkway,Philadelphia,Pennsylvania,73049313754ecb55b13c82acf3a179ea,6/18/2016
Atlante Harower,Department D,$19.59,70,63629 Bayside Terrace,Austin,Texas,e3a8034d1fc36bb01d19f2806b6ad080,11/12/2016
Ignacio Arpur,Department A,$48.94,45,6483 Boyd Avenue,Atlanta,Georgia,438fcda83ec563b7b2da5d3d4d794d41,10/19/2016
Modesty Berringer,Department D,$58.50,74,92902 Kropf Junction,Long Beach,California,170895b7088c30ea2bcfb3fbcb10bee1,1/1/2017
Ashleigh Baudinot,Department D,$4.10,76,51 Lindbergh Court,Tulsa,Oklahoma,1dc12486b2e41ac0bfc984d97acdf2f7,2/15/2017
Nell Lindup,Department C,$45.85,34,03 Atwood Park,Wichita,Kansas,767c1fb6c5c1f885e53a36fa000e25de,9/9/2016
Krystle Boothe,Department D,$95.67,48,62556 Banding Way,Kansas City,Missouri,fed093bbb9211d08e5e6bea433eeb31f,12/22/2016
Modesty Berringer,Department D,$76.09,38,191 Summit Street,Huntsville,Alabama,1f07c28bf43e84cf09ca1c97b54eaeba,7/23/2017
Powell Amorts,Department B,$14.89,9,3 Messerschmidt Way,Pittsburgh,Pennsylvania,4f9e4f5ae172d268c8becf3f5e584c19,4/12/2016
Linn Becerra,Department B,$13.83,85,972 Mendota Hill,Dayton,Ohio,a436a12f8e182b91b0361c37cfbbe790,4/17/2016
Brear Fairs,Department D,$50.61,88,78 Sachs Trail,Lakeland,Florida,dbfa64da32b290ff6afecda5dd6025f1,6/18/2017
Modesty Berringer,Department D,$71.98,60,265 Grim Park,Salt Lake City,Utah,558484e89f1d1589a970d3658548d766,8/12/2016
Linn Becerra,Department B,$6.85,21,65783 Everett Pass,Corona,California,26cbe9c51ad717ec8c00c83739d58009,4/14/2017
Zebedee Kedge,Department A,$86.00,97,269 Crownhardt Trail,Springfield,Missouri,1fe65f63ca9602049b2e9b974f991e1a,1/16/2017
Bartholemy Kment,Department B,$56.16,55,589 Pearson Plaza,Pittsburgh,Pennsylvania,9fcfd0b71af5fdaa2f0800b0d1123356,2/5/2017
Zaneta Delmage,Department B,$25.72,96,7051 Spenser Pass,Miami,Florida,f63b3d19d11a3bb35501ba95dc2dc5c2,6/7/2016
Celestyna Erskine,Department C,$49.27,20,64162 Oak Point,Houston,Texas,52ed897f7541fcf5a87635ca5f405fba,3/1/2016
Ortensia Le,Department C,$46.06,70,1 Del Sol Plaza,Las Vegas,Nevada,da8f186f28d114e1bf58818585fa7167,12/2/2016
Chad Yeatman,Department A,$74.00,34,31 Ramsey Terrace,Las Vegas,Nevada,40dea2524a7c5afabeeee9a3cd1eb375,9/22/2016
Ortensia Le,Department C,$69.15,28,71 Surrey Trail,Tallahassee,Florida,838c6effd1e816d5aa2315793950b842,5/2/2017
Brear Fairs,Department D,$66.96,57,015 Welch Drive,Bridgeport,Connecticut,7de5eda4180749cecd53a963ebe39f82,1/23/2017
Ashleigh Baudinot,Department D,$30.43,53,4417 Springview Lane,North Hollywood,California,cd966c9e0ef08f5dbd941cafba308ebe,2/16/2017
Celestyna Erskine,Department C,$12.78,95,6 Straubel Court,Fort Lauderdale,Florida,948e2efd90f1196eff321fb13ecff684,3/15/2016
Zaneta Delmage,Department B,$22.40,77,90205 Melvin Place,Winston Salem,North Carolina,1e7948319a9080dec740424f09ca06a6,4/10/2016
Ortensia Le,Department C,$7.78,85,746 Canary Center,Alpharetta,Georgia,83c5277f71069b594d53532d37dc63f2,9/14/2016
Gothart Whimpenny,Department C,$98.51,97,99522 Cottonwood Court,Dallas,Texas,c4be8beb15cf18fc575524a355e3573a,7/8/2016
Krystle Boothe,Department D,$52.14,84,82751 Tennessee Place,Largo,Florida,35e881ff0e23958d40bf15d47de29710,4/17/2017
Linn Becerra,Department B,$7.75,87,9445 Calypso Junction,Nashville,Tennessee,522c892e5a81fdcef5f63bb7a6803316,8/20/2017
Ortensia Le,Department C,$59.90,5,5833 Butternut Park,Tampa,Florida,7f6f75773226617a1bb110f7f2687150,4/11/2017
Atlante Harower,Department D,$48.96,70,1598 Shasta Parkway,Dayton,Ohio,4e5330307582d91cf67277fa4e8792e9,8/13/2016
Gothart Whimpenny,Department C,$69.20,18,6 Almo Parkway,Dallas,Texas,af65e0ae9883aa0745e2978546e3f0db,1/25/2016
Gothart Whimpenny,Department C,$50.22,25,248 Longview Terrace,Cleveland,Ohio,3e6dac8201320092e5a7a8b1e02499bb,2/19/2016
Linn Becerra,Department B,$36.80,92,5 Macpherson Drive,Shreveport,Louisiana,78667df75be09b6d7b3d7503d8feddcb,1/29/2016
,,,87,2 Pepper Wood Hill,Louisville,Kentucky,7d443a27e5cb37c5f4a86cfa4df15e1f,4/4/2016
Linn Becerra,Department B,$80.62,43,84846 Spenser Park,Albuquerque,New Mexico,fbb50e63176cb9589e6da4e6e8e18dfc,8/15/2017
Zaneta Delmage,Department B,$40.30,62,89 Haas Parkway,Portland,Oregon,997e3a850724f1a2ece3170f1bebcce4,3/22/2016
Brear Fairs,Department D,$34.62,80,035 Victoria Place,Dallas,Texas,0e203eaa070545be68e955cfcff593c2,5/14/2016
Jacquette Oakley,Department C,$2.77,23,77 Bartillon Alley,Glendale,California,d16d595a6b361b000bae3410b79e4e2d,9/23/2016
Zebedee Kedge,Department A,$21.59,38,25568 5th Park,Boise,Idaho,7e0b5a38c411fbe652ae90829b6a8b3b,7/18/2017
Modesty Berringer,Department D,$10.57,38,1537 Bellgrove Place,Portland,Oregon,1d02774963d839747f97f83f6eea32e5,10/19/2016
Rutherford Kermath,Department D,$29.07,88,6707 Bayside Center,Wichita,Kansas,644e6289cce812de0c550e6fb1a8f02f,8/24/2016
Celestyna Erskine,Department C,$86.98,36,77519 Troy Junction,Atlanta,Georgia,678e483620a74edb964008260932a97d,8/22/2016
Brear Fairs,Department D,$51.11,15,5 Hallows Center,Cape Coral,Florida,e403644dfd0db795d0ea83c5cd515c98,6/11/2017
Dallas Le,Department B,$72.80,28,01 Buell Road,Fort Pierce,Florida,08b22d566d4e8277a3c442c8cc427fe1,2/22/2017
Celestyna Erskine,Department C,$19.49,53,7928 Little Fleur Crossing,Huntington,West Virginia,f07a96bdbe75797ddd2bf3d35612924a,10/23/2016
Ignacio Arpur,Department A,$14.43,16,19733 Grasskamp Way,Seattle,Washington,177b5cc31bb8ed32899ad0ea3b376e58,12/28/2016
Bartholemy Kment,Department B,$83.04,65,5 West Circle,Pasadena,California,22a8bbab48b57f611aab60401cd4c973,3/18/2017
Ortensia Le,Department C,$67.27,9,78 Utah Trail,Lubbock,Texas,ea6f1781f0f4eda3f95e42a23415105b,4/3/2017
Modesty Berringer,Department D,$53.71,9,76689 Prairieview Center,Washington,District of Columbia,b2bc6587b604c25fb5d6164f05064814,9/2/2016
Nell Lindup,Department C,$74.74,80,1 Cody Plaza,Daytona Beach,Florida,94db4c6fe9bea666fbe86c0198125391,1/25/2017
Bartholemy Kment,Department B,$96.59,13,73189 Sommers Place,Peoria,Illinois,b4b2198c235a21d242e9a1b30961ce1a,11/13/2016
Krystle Boothe,Department D,$24.99,69,2094 Gulseth Road,Paterson,New Jersey,5ab98e52d41fcd53365187753176e738,6/17/2016
Chad Yeatman,Department A,$32.55,44,5 Eliot Alley,Phoenix,Arizona,723736d40a47aa077c28b4b9e50a98c7,5/22/2016
Ortensia Le,Department C,$43.94,58,93 Macpherson Street,San Bernardino,California,19c0d61deee8f4618583d9ef551746f2,4/5/2017
Ignacio Arpur,Department A,$84.80,94,72679 Ramsey Center,Grand Rapids,Michigan,758dffccb1354041fb6512c8bf7a60db,6/27/2017
Chad Yeatman,Department A,$89.16,67,886 Cordelia Place,Cleveland,Ohio,a3390ebc7fdd950422f6a8c640a92dfe,7/28/2016
Atlante Harower,Department D,$9.28,28,3229 Warner Circle,Fort Myers,Florida,018b19e05dbc2ae0683978127c1404e7,4/22/2016
Dallas Le,Department B,$5.91,10,6 1st Pass,South Bend,Indiana,28951b5841048d386cab9f36a7b97fcd,11/26/2016
Dallas Le,Department B,$89.94,40,1 Oak Valley Hill,Sioux Falls,South Dakota,3ec833eda6b7994468b15e853733c9c6,1/28/2016
Rutherford Kermath,Department D,$96.45,16,61365 Merrick Circle,Tyler,Texas,bd887cccbb603553fda95cf6303d26b5,7/1/2016
Celestyna Erskine,Department C,$72.86,8,32332 Dottie Street,Newark,Delaware,24c48caa0222ba3b8c70712088861cad,12/4/2016
Powell Amorts,Department B,$37.62,31,9 Mesta Park,Hartford,Connecticut,c0112dd479189a1cf4ce3b0dd448f218,7/14/2017
Ortensia Le,Department C,$25.86,92,77 Acker Circle,Boulder,Colorado,7f856a56ebd27f03d402fb93e6d6f0f1,3/16/2016
Zebedee Kedge,Department A,$39.37,71,8261 Monterey Parkway,Sparks,Nevada,0da7051cddf1aea5e52b68c028f28d84,5/4/2017
Krystle Boothe,Department D,$38.70,91,29811 Brickson Park Avenue,Chicago,Illinois,07155c327ad3417ad29ec61003a28c2c,4/21/2016
Atlante Harower,Department D,$56.27,48,79 Sloan Pass,Bradenton,Florida,2d94b8d644635ee376c577598280e940,6/2/2017
Zebedee Kedge,Department A,$11.13,80,686 Pleasure Way,San Diego,California,a6c34e969c52d1a5dcdc5bbaeb7844eb,5/4/2016
Modesty Berringer,Department D,$74.15,82,0484 Monument Circle,Prescott,Arizona,c423a524bb8601e92d088d9c19a84d1a,7/15/2017
Chad Yeatman,Department A,$76.86,30,85981 Summerview Terrace,Salt Lake City,Utah,8300ff3c929aebe719422ec4933cb8fb,8/6/2017
Zebedee Kedge,Department A,$85.88,59,0550 Kedzie Park,Springfield,Massachusetts,41db9d4174a094665dc734e702491ef5,6/6/2016
Bartholemy Kment,Department B,$92.11,20,910 Karstens Crossing,Orlando,Florida,40e8f4194d9065f2f07675b75a680b7e,7/19/2017
Linn Becerra,Department B,$21.08,72,766 Elgar Avenue,Austin,Texas,0a23ede3927de39e4b41a549f8a3b70d,9/10/2016
Chad Yeatman,Department A,$67.54,33,1 Miller Point,Hartford,Connecticut,50af6f6746a54245a25140679df6b98d,10/15/2016
Shane Simkins,Department B,$62.95,14,6176 Crownhardt Crossing,Miami,Florida,c651bf2be28b578a76536cb806595c4c,1/4/2016
Bartholemy Kment,Department B,$71.24,71,52894 Eggendart Road,Portland,Oregon,4ad56731ef04a75f8f091d4c1cc9af3a,3/20/2016
Nell Lindup,Department C,$84.15,36,3 Melrose Way,Washington,District of Columbia,190834cb86e70e0dcbfb9484c32da7f2,1/11/2016
Gothart Whimpenny,Department C,$70.38,13,8558 Alpine Junction,Van Nuys,California,c8351afefc4bf26d70b3708fa2f8ff1a,7/4/2017
Shane Simkins,Department B,$72.56,3,6 Portage Drive,Montgomery,Alabama,27eb8524a2903a02aac7624529d96849,4/22/2017
Powell Amorts,Department B,$35.10,23,1 Gale Way,Pittsburgh,Pennsylvania,5f2206e75b34881edc60261d397921c5,9/17/2016
Zebedee Kedge,Department A,$56.86,88,7250 Ilene Park,New Haven,Connecticut,f437bd8e974819d1d0e570023b875388,12/8/2016
Atlante Harower,Department D,$11.26,76,8 Kedzie Plaza,Oakland,California,e7547374360d219d2503a1c44183f9aa,10/24/2016
Gothart Whimpenny,Department C,$55.71,43,81 Farmco Trail,Columbia,South Carolina,10b0000d5af0f8a6930bd3f504bf6484,4/10/2016
Zaneta Delmage,Department B,$24.38,79,67722 School Alley,Hayward,California,ff192ddbc400c032c238f552fd1c5f2f,6/18/2017
Rutherford Kermath,Department D,$46.10,83,282 Annamark Street,Minneapolis,Minnesota,b520307c264a24b47d53e2ac0b0c0ab1,3/24/2017
Celestyna Erskine,Department C,$29.02,37,727 Monument Trail,Spokane,Washington,5bb300e12b581382a3d2abef45874535,1/28/2017
Dallas Le,Department B,$45.13,52,8885 Kipling Pass,Philadelphia,Pennsylvania,38640897f49d2f2d945a371e0c471f62,5/15/2016
Ortensia Le,Department C,$85.84,31,554 Annamark Hill,New York City,New York,8ce4ef1b67251565952b145a52ae173c,1/22/2017
Shane Simkins,Department B,$61.07,91,2055 Raven Street,Trenton,New Jersey,9cfb4de24d0478192b1849f9d434793e,9/25/2016
Ortensia Le,Department C,$78.26,75,4 Brown Avenue,San Antonio,Texas,dd39962d7b36efd4c121b42eb6912fec,7/14/2017
Celestyna Erskine,Department C,$97.80,91,83118 Hoepker Court,Jackson,Mississippi,dc9df6ea869e7a3085c54b11e4ee5a9d,11/8/2016
Chad Yeatman,Department A,$88.81,43,156 Esch Center,Duluth,Minnesota,c4bab5c019d1f916be6a998ad6d4eb06,7/7/2017
Celestyna Erskine,Department C,$20.53,59,298 Lotheville Junction,Levittown,Pennsylvania,a0e9674b704f182b028da473654f330f,1/1/2016
Atlante Harower,Department D,$8.57,100,825 Delaware Plaza,Omaha,Nebraska,60030fbc1a777bf8bf9a81932d7e2c81,3/20/2016
Jacquette Oakley,Department C,$59.58,78,15980 Hoard Pass,Iowa City,Iowa,651f6bb9c587d1af569ba2cc4660fa2e,4/15/2017
Krystle Boothe,Department D,$69.90,1,67672 Lyons Crossing,West Palm Beach,Florida,8dd1b7105220b5f9aacc89ce814e02f8,5/4/2017
Ashleigh Baudinot,Department D,$15.94,76,1 Anzinger Street,Houston,Texas,e3bae6dcf245b8876cee31d7d8249e1d,3/27/2017
Krystle Boothe,Department D,$75.90,52,881 High Crossing Center,Evansville,Indiana,018a97aa1eb0c9e40d8c85431e2dbf2a,6/26/2016
Ashleigh Baudinot,Department D,$86.01,44,7 Helena Junction,Shawnee Mission,Kansas,d6331e12149a4ad0390bf168db496429,10/9/2016
Powell Amorts,Department B,$13.72,2,4103 Bluestem Circle,Mesa,Arizona,c3650183d9a1729a5900d316df39bbc6,4/1/2017
Linn Becerra,Department B,$84.38,68,39 Susan Road,Clearwater,Florida,7ee51efa2d5cf468a4458e9f552b01ee,2/10/2016
Nell Lindup,Department C,$57.02,73,4 Katie Place,Richmond,Virginia,5bb025450245fc6bdc11d2951142b693,11/12/2016
Ignacio Arpur,Department A,$58.26,61,910 Johnson Trail,Corpus Christi,Texas,84cc6394c8bece75c6eed19ac29e867d,2/14/2016
Ignacio Arpur,Department A,$55.76,59,7 Butterfield Pass,San Francisco,California,c4cc686492b551e7455362960ec229bd,10/26/2016
Zaneta Delmage,Department B,$2.32,80,4 Village Green Parkway,Louisville,Kentucky,d41a0208de05223ab59f11250f0c6ea1,10/11/2016
Shena Reeson,Department B,$98.89,94,65724 Duke Circle,Spokane,Washington,861c1644546e999e791e86f8eb682ba1,3/2/2016
Zebedee Kedge,Department A,$5.53,42,53505 Claremont Trail,Houston,Texas,28b878aa9bf63c7dbc337adbd710cffa,3/12/2017
Rutherford Kermath,Department D,$31.46,76,2297 Northridge Park,Bronx,New York,d5e6db08a2f405cc8ec5a5e500e45940,7/28/2017
Linn Becerra,Department B,$13.16,2,94 Ridgeway Drive,Metairie,Louisiana,4add12ea35fd4890daac7693e3668812,3/17/2016
Powell Amorts,Department B,$97.50,16,4 Di Loreto Place,Bryan,Texas,c07dcdf1f17b25ff22f93f8b43e09d58,1/8/2016
Shane Simkins,Department B,$0.93,46,8 Mendota Way,Boston,Massachusetts,8181e6226a4fcd81b9bb0b057cebb964,1/3/2016
Celestyna Erskine,Department C,$2.06,73,384 Muir Circle,Milwaukee,Wisconsin,3e3854e552da9513cb2d85435bdd1e88,12/13/2016
Modesty Berringer,Department D,$91.25,94,892 South Crossing,Washington,District of Columbia,ff1e725a59ce2bf9df4819072f2bc822,9/13/2016
Shane Simkins,Department B,$1.15,8,4316 Mockingbird Center,Everett,Washington,830396ab690a4f32421c82ccee652a93,7/18/2016
Celestyna Erskine,Department C,$9.83,36,68719 Corry Hill,Asheville,North Carolina,95b40168fde733f5c3728008581a9135,2/14/2016
Atlante Harower,Department D,$66.37,80,00784 Gale Park,Topeka,Kansas,a521f276d4d6755c78f726145b52d94e,7/16/2016
Jacquette Oakley,Department C,$68.50,36,36030 Orin Hill,Los Angeles,California,f1dc9a37b0f00e3d2c694f76ffafdacf,3/1/2016
Ignacio Arpur,Department A,$39.95,34,088 Warbler Avenue,Huntsville,Alabama,a73b8753f9c7a8f73d5d97548aaae50f,5/22/2016
Shena Reeson,Department B,$30.61,21,94 Independence Point,Buffalo,New York,4a3ed7aa368c3b52da6d4d56371009ca,12/7/2016
Atlante Harower,Department D,$0.09,86,0432 Claremont Crossing,Tulsa,Oklahoma,c506791b32a2c3264be4ce06b90cdc36,6/26/2016
Shena Reeson,Department B,$36.70,45,22769 Mayfield Street,Saint Joseph,Missouri,e4de9ef0d1b64cb9d014807e0b4a3718,12/25/2016
Linn Becerra,Department B,$89.52,7,001 Hudson Lane,Stamford,Connecticut,b37c9de8becd36e5aa1e32a90b3764d4,1/4/2016
Linn Becerra,Department B,$79.80,92,4 Morrow Road,Fort Worth,Texas,ea518ccd52f474da2cf415216dce2b20,11/25/2016
Brear Fairs,Department D,$14.41,84,78825 Eliot Pass,Jacksonville,Florida,86ddca3a20d6167e186584c91e7d182e,2/29/2016
Shane Simkins,Department B,$68.39,17,9 Mifflin Park,Las Vegas,Nevada,16c97709695b8d87d0725e9678272eaf,1/13/2016
Zaneta Delmage,Department B,$53.77,100,67 Myrtle Street,Springfield,Ohio,90dd7df61a78adb3a18c8b57fe62fff1,2/14/2017
Ortensia Le,Department C,$95.54,84,40 Division Lane,Greensboro,North Carolina,588dc3537b5b87718850f7785252dc1c,8/11/2017
,,,51,3 Stuart Court,South Lake Tahoe,California,6a16e1bc0990101cddd6d4bae21bceee,2/15/2016
Shena Reeson,Department B,$14.27,1,012 Blackbird Place,Mobile,Alabama,3c6cf2791f1751f6d396d2fa4c6e7760,7/10/2017
Gothart Whimpenny,Department C,$53.26,38,2286 Almo Street,Asheville,North Carolina,98c73c14f6f33afb1c8ce75b60359d7b,11/2/2016
Shena Reeson,Department B,$94.07,31,9176 Clyde Gallagher Park,Joliet,Illinois,fd6c871c27673337f03e8c61a3e7f6b1,3/4/2016
Rutherford Kermath,Department D,$46.94,85,898 Jackson Trail,Charlotte,North Carolina,929ef3e8518efb9b370a10f699058093,12/14/2016
Shena Reeson,Department B,$93.16,56,09030 Hovde Avenue,Atlanta,Georgia,6462c46349d67135d3dcab96031cb568,10/23/2016
Brear Fairs,Department D,$52.61,7,2 Waubesa Junction,Tucson,Arizona,564fd070511fcd30ac98c92532da863d,9/16/2016
Celestyna Erskine,Department C,$64.68,54,79 Ludington Crossing,Kansas City,Missouri,e21452274c7eb19899c51362bc919925,9/2/2016
Atlante Harower,Department D,$86.52,74,2768 Arkansas Lane,Washington,District of Columbia,fb2f18596dd65f98afd06151de49858f,7/25/2017
Nell Lindup,Department C,$28.91,52,6138 Declaration Alley,Idaho Falls,Idaho,b3adc06dca6e6c59f09e69793df501bf,9/8/2016
Bartholemy Kment,Department B,$19.82,75,40321 Northfield Alley,Tampa,Florida,9307749296677c61cca06b36e8f09235,2/5/2017
Dallas Le,Department B,$28.10,60,92299 Becker Drive,New Haven,Connecticut,12b7263cc6ee7a10ea5eb1de3e47b3e0,8/23/2016
Brear Fairs,Department D,$21.64,10,913 Mayer Road,Atlanta,Georgia,ffa01203bd261687b5488342d865ab8b,1/5/2017
Bartholemy Kment,Department B,$91.70,51,1 Union Park,Mobile,Alabama,32f508e965a79f3cfd31f5ba01c54bfd,1/15/2017
Dallas Le,Department B,$26.63,13,63 Bartillon Trail,Toledo,Ohio,2b40b69d788f1aff9e0abd5f2fb8e71d,2/2/2016
Dallas Le,Department B,$53.19,22,91 Atwood Plaza,Tucson,Arizona,42714dbeb3c475bdbca6b1c9201a181a,6/30/2016
Linn Becerra,Department B,$84.17,65,324 Monterey Center,Kansas City,Missouri,7ebd75c731c04001f5fe397d76621e7a,5/23/2016
Shane Simkins,Department B,$58.35,79,040 Orin Park,Saint Louis,Missouri,8c67e1853de14d7743a3ebfe6030785c,11/7/2016
Ignacio Arpur,Department A,$34.66,93,606 Hollow Ridge Point,Trenton,New Jersey,b33cae92ff7b29df1500e7ff51359813,8/29/2016
Modesty Berringer,Department D,$40.79,50,02 Melvin Center,Richmond,Virginia,c940e3810db1e3cc8f2c4affd902b7a0,1/3/2016
Brear Fairs,Department D,$42.76,54,2 Tomscot Hill,Hialeah,Florida,7ccbcad4a61c068ddb02005cd13defe2,3/20/2016
